FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),under5,5to9,10to14,15to17,18to24,25to34,35to44,45to54,55to64,65to74,75to84,plus85,totalPop,white,black,nativeAm,asian,pacIsl,other,twomore,employed,unemployed,medhhinc,gini
3.54404E+11,"Newport city, OR; Newport, OR Micro Area","Newport city, Oregon (part); Newport, Newport",or,6.02,5.98,4.94,3.04,7.67,12.29,11.14,12.54,15.09,13.91,4.44,2.96,10139,83.24,1.23,1.35,1.1,0.68,5.14,7.25,94.31,5.69,38531,0.4614
3.54605E+11,"Newport city, TN; Newport, TN Micro Area","Newport city, Tennessee (part); Newport, Newport",tn,8.78,5.67,6.77,1.53,6.02,9.93,12.72,12.82,15.21,13.35,6.37,0.82,6856,95.33,3.17,0.57,0,0,0,0.93,86.37,13.63,22417,0.5237
3.55002E+11,"Newton city, IA; Newton, IA Micro Area","Newton city, Iowa (part); Newton, Newton",ia,6.89,5.24,7.77,3.24,8.71,11.86,10.23,14.7,12.15,9.3,5.74,4.19,15090,95.51,1.56,0.34,0.88,0,0,1.7,94.19,5.81,47377,0.4146
3.55803E+11,"New Ulm city, MN; New Ulm, MN Micro Area","New Ulm city, Minnesota (part); New Ulm, New Ulm",mn,6.34,4.95,5.43,3.17,12.71,12.7,9.75,11.45,14.19,9.96,5.97,3.37,13279,96.78,0.2,0.38,0.89,0.11,0.54,1.11,97.39,2.61,52244,0.4232
3.56203E+11,"Jersey City city, NJ; New York-Newark-Jersey City, NY-NJ-PA Metro Area","Jersey City city, New Jersey (part); New York-Newark-Jersey City, New York-Newark-Jersey City",nj,7.62,5.66,4.71,2.87,9.17,22.49,15.86,12.16,9.78,5.89,2.83,0.97,261666,35.27,24.84,0.34,25.01,0.05,11.37,3.13,91.99,8.01,60703,0.5075
3.56203E+11,"Lakewood CDP, NJ; New York-Newark-Jersey City, NY-NJ-PA Metro Area","Lakewood CDP, New Jersey (part); New York-Newark-Jersey City, New York-Newark-Jersey City",nj,17.92,14.26,11.85,6.09,11.89,14.32,9.37,6.45,3.62,1.9,1.37,0.96,54679,91.82,3.13,0.17,0.72,0,3.65,0.5,94.98,5.02,40966,0.4949
3.56203E+11,"Newark city, NJ; New York-Newark-Jersey City, NY-NJ-PA Metro Area","Newark city, New Jersey (part); New York-Newark-Jersey City, New York-Newark-Jersey City",nj,7.59,6.86,6.72,3.99,11.32,16.55,14.55,13.7,9.64,5.47,2.67,0.93,280139,24.35,50.24,0.5,1.75,0.05,20.24,2.85,82.83,17.17,33025,0.4812
3.56203E+11,"New Brunswick city, NJ; New York-Newark-Jersey City, NY-NJ-PA Metro Area","New Brunswick city, New Jersey (part); New York-Newark-Jersey City, New York-Newark-Jersey City",nj,7.86,6.26,5.99,3.57,29.29,16.55,11.97,8.08,5.36,2.8,1.71,0.57,56427,67.46,13.26,0.32,8.85,0.02,8.04,2.04,90.26,9.74,40428,0.4754
3.56204E+11,"New York city, NY; New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York city, New York (part); New York-Newark-Jersey City, New York-Newark-Jersey City",ny,6.56,5.76,5.51,3.36,9.65,17.7,13.88,13.14,11.44,7.24,3.9,1.85,8461961,43.07,24.4,0.39,13.71,0.05,15.09,3.28,91.4,8.6,55191,0.5468
3.56204E+11,"White Plains city, NY; New York-Newark-Jersey City, NY-NJ-PA Metro Area","White Plains city, New York (part); New York-Newark-Jersey City, New York-Newark-Jersey City",ny,6,5.56,5.95,3.25,8.41,15.83,14.48,12.75,12.62,7.09,5.08,3,57925,61.25,12.21,1,6.92,0,15.22,3.39,93.3,6.7,82460,0.5172
3.56603E+11,"Benton Harbor city, MI; Niles-Benton Harbor, MI Metro Area","Benton Harbor city, Michigan (part); Niles-Benton Harbor, Niles-Benton Harbor",mi,9.69,9.98,6.36,5.03,9.72,12.57,12.26,13.89,11.22,5.1,2.57,1.61,9988,9.9,85.28,0,0.16,0,0.18,4.48,77,23,18962,0.4612
3.56603E+11,"Niles city, MI (part); Niles-Benton Harbor, MI Metro Area","Niles city, Michigan (part); Niles-Benton Harbor, Niles-Benton Harbor",mi,7.8,8.61,7.22,3.1,11.37,11.64,11.11,11.63,11.17,8.83,4.22,3.3,11379,84.53,9.84,0.54,0.98,0,0.62,3.48,90.47,9.53,30963,0.4487
3.57E+11,"Nogales city, AZ; Nogales, AZ Micro Area","Nogales city, Arizona (part); Nogales, Nogales",az,7.38,8.51,9.11,5.12,11.81,10.21,9.78,12.58,9.87,9.24,4.9,1.48,20355,84.1,0.58,0.25,1.13,0,13.11,0.83,87.59,12.41,27929,0.5248
3.57403E+11,"Norfolk city, NE; Norfolk, NE Micro Area","Norfolk city, Nebraska (part); Norfolk, Norfolk",ne,7.78,6.57,7.04,3.56,11.96,12.76,11.23,12.26,12.05,6.98,4.8,3,24398,90.09,1.73,2.14,1.24,0,2.73,2.07,96.42,3.58,45401,0.4149
3.58203E+11,"North Platte city, NE; North Platte, NE Micro Area","North Platte city, Nebraska (part); North Platte, North Platte",ne,6.86,6.41,7.7,3.72,8.63,13.86,11.81,11.14,13.37,7.59,5.5,3.4,24311,95.54,1.44,0.33,0.56,0.03,0.79,1.31,96.36,3.64,46404,0.4313
3.58401E+11,"Bradenton city, FL; North Port-Sarasota-Bradenton, FL Metro Area","Bradenton city, Florida (part); North Port-Sarasota-Bradenton, North Port-Sarasota-Bradenton",fl,5.9,5.6,5.68,4,7.91,12.84,10.36,10.33,13.5,10.11,8.08,5.7,52985,76.41,19.26,0.16,0.99,0,1.52,1.66,91.55,8.45,41093,0.4291
3.58401E+11,"North Port city, FL; North Port-Sarasota-Bradenton, FL Metro Area","North Port city, Florida (part); North Port-Sarasota-Bradenton, North Port-Sarasota-Bradenton",fl,4.55,7.12,5.83,3.71,6.94,9.56,11.04,12.51,15.12,14.45,7.23,1.96,60871,86.45,7.69,0.09,1.65,0,1.22,2.91,91.91,8.09,53815,0.4219
